Slur,Represents
black,blacks
blacks,blacks
illegals,hispanic
mexican,hispanic
whites,hispanics
African,Blacks
African't,Blacks
Africoon,Blacks
Afro,Blacks
Albino,Whites
American't,Americans
Americoon,Blacks
Americunt,Americans
AmeriKKKan,Americans
Ape,Blacks
Aryan,Whites
Ashy,Blacks
Ayatollah,Persians
Azn,Asians
Balsero,Cubans
Beaner,Hispanics
BET,Blacks
Big Nose,Jews
Blackanese,Mixed Races
Blackie,Blacks
Blacky,Blacks
Blanco,Whites
Blaxican,Mixed Races
Bleck,Blacks
Bonky,Blacks
Boogie,Blacks
Boon,Blacks
Brownie,Blacks
Banana,Asians
Bubba,Blacks
Buckethead,Koreans
Buckwheat,Blacks
Buddhahead,Asians
Bukakke Warrior,Japanese
Bukkakese,Asians
Burrito,Hispanics
Cabezita Negra,Hispanics
Camel Cowboy,Arabs
Camel Crunch,Arabs
Camel Jockey,Arabs
Camel Lips,Blacks
Camel-Fucker,Arabs
Camel-Jacker,Arabs
Canuck,Canadians
Canucklehead,Canadians
Canyada,Canadians
Caramel,Mixed Races
Carnie,Mexicans
Carpet Pilot,Arabs
Carpetbagger,Americans
Carrot Top,Irish
Casper,Whites
Caublasian,Mixed Races
Caveman,Whites
Chain Dragger,Blacks
Chalupa,Mexicans
Cheech,Mexicans
Cheese Nip,Mixed Races
Cheskey,Czechs
Chesky,Czech
Chico,Hispanics
Chigger,Chinese
Chinaman,Asians
Ching-Chong,Asians
Chink,Asians
Chink-a-billy,Chinese
Chinkaboo,Mixed Races
Chinkamo,Mixed Races
Chinkerbell,Asians
Chinksta,Chinese
Chino,Chinese
Chinxican,Mixed Races
Chirp,Whites
Chite,Whites
Chod,Guamanians
Chole,Creole
Cholo,Mexicans
Chonkey,Mixed Races
Chonky,Chinese
Chuco,Mexicans
CHUD,Blacks
Chunt,Mexicans
Cigani,Serbs
Clamhand,Whites
Clampett,Whites
Clicker,Africans
Clicky,Blacks
Ape,Blacks
Cliptip,Jews
Clitless,Arabs
Cloggie,Dutch
Cochise,Native Americans
Cocoon,Blacks
Commie,Russians
Comrade,Africans
Confederate,Whites
Congo,Blacks
Conky,Blacks
Coon,Blacks
Coonass,Cajuns
Cooner,Blacks
Coontang,Blacks
Corky,Whites
Cornfed,Whites
Cotton Ball,Blacks
Cotton-Picker,Blacks
Cracker,Whites
Crikey,Australians
Crote,Croatians
Czigger,Mixed Races
Darkie,Blacks
Darkness,Blacks
Desi,Indians
Devil,Whites
Dib,Israelis
Dim Sum,Chinese
Ding Dong,Blacks
Dink,Vietnamese
Drago,Russians
Dreidl,Jews
Etnikum,Gypsy
Falasha,Jews
Featherhead,Native Americans
Fligga,Filipinos
Fligger,Filipinos
Flip,Filipinos
Flipper,Mixed Races
Flipsican,Mixed Races
FOB,Immigrants
Gink,Asians
Ginny,Italians
Gino,Italians
Ginzo,Italians
GOB,Whites
Goldberg,Jews
Goldie,Jews
Gook,Vietnamese
Gookaniese,Vietnamese
Gookemon,Asians
Gookie Monster,Vietnamese
Goombah,Italians
Gorilla,Blacks
Goy,Whites
Goyim,Whites
Greaser,Mexicans
Gringo,Whites
Guido,Italians
Habib,Indians
Habibi,Arabs
Hadji,Indians
Halfrican,Mixed Races
Halfro,Mixed Races
Halfula,Mixed Races
Haole,Whites
Hillbilly,Whites
Honky,Whites
Honkie,Asians
Hooknose,Jews
Hoon,Australians
Hoopie,Whites
Huk,Filipinos
Imperialist,Americans
Indian,Native Americans
Indijew,Mixed Races
Indo,Indonesians
Indon,Indonesians
Indonigger,Indians
Jap,Japanese
JAP,Jews
Japanigger,Asians
Japansy,Japanese
Jew,Jews
Jew-Bag,Jews
Jewbacca,Jews
Jewban,Mixed Races
Jewbling,Jews
Jewbrew,Jews
Jewbu,Jews
Jewess,Jews
Jewgaboo,Jews
Jewlet,Jews
Jewmaican,Jews
Jewop,Mixed Races
Jewpac,Jews
Jewpidity,Jews
Jewrab,Mixed Races
Jewrican,Mixed Races
Jewronimo,Mixed Races
Jewxican,Mixed Races
Jig,Blacks
Jigaboo,Blacks
Jigabrew,Mixed Races
Jigga,Blacks
Jigger,Mixed Races
Jihad,Arabs
Jihadi,Arabs
Jin,Asians
Jink,Mixed Races
Juba,Blacks
Juban,Mixed Races
JUBU,Jews
Kike,Jews
Knuckle-Dragger,Blacks
Koshie,Jews
Kossy,Germans
Kraut,Germans
Lemonhead,Asians
Leprechaun,Irish
Leprecoon,Blacks
Leroy,Blacks
Levar,Blacks
Limey,British
Mammy,Blacks
Mandingo,Blacks
Mandinka,Blacks
Massa,Whites
McChigger,Mixed Races
McGook,Vietnamese
McKraut,Mixed Races
McNigga,Blacks
McNugget,Scottish
McSpic,Mixed Races
McWop,Mixed Races
Mexcrement,Mexicans
Mexi-Ho's,Mexicans
Mexican't,Mexicans
Mexicoon,Mixed Races
Mexijew,Mixed Races
Meximese,Mixed Races
Migger,Mexicans
Moon Cricket,Blacks
Muck,Native Americans
Muckadoo,Blacks
Mucker,Irish
Mufasa,Blacks
Muhammad,Arabs
Mullato,Mixed Races
Mung,Vietnamese
Nappy Head,Blacks
Negro,Blacks
Negroid,Blacks
Negrophiliac,Whites
Newfie,Canadians
Nig-nog,Blacks
Nigdu,Mixed Races
Niggabyte,Blacks
Niggapotomous,Blacks
Nigger,Blacks
Nigger,Whites
Nigger Digger,Whites
Nigger Magnet,Whites
Nigger mortis,Blacks
Niggerachi,Blacks
Niggerette,Blacks
Niggerican,Mixed Races
Niggerino,Blacks
Niggeroid,Blacks
Nigglet,Blacks
Niglige,Blacks
Nigloo,Blacks
Nignorant,Blacks
Nigonometry,Blacks
Nigook,Mixed Races
Nigra,Blacks
Nigress,Blacks
Nip,Japanese
Nipper,Japanese
Niponese,Japanese
Nippopotomus,Japanese
Oriental,Asian
Paki,Indians
Pepik,Czechs
Pikajew,Mixed Races
Pikey,Gypsies
Pinko,Russians
Pogue,Irish
Pohm,British
Poon,Hindus
Portagee,Portuguese
Portajew,Mixed Races
Portugoose,Portuguese
Rab,Arabs
Racoon,Arabs
Rag,Filipinos
Rag-head,Arabs
Ragoona,Blacks
Redbone,Blacks
Redneck,Whites
Redskin,Native Americans
Rice Ball,Asians
Rice Burner/Rice Rocket,Asians
Rice Cracker,Mixed Races
Rice Cracker,Whites
Rice King,Whites
Rice Nigger,Asians
Rice-Chaser,Whites
Rice-Cooker,Asians
Rice-Eater,Asians
Rice-Paddy,Asians
Rice-Picker,Asians
Rook,Russians
Ruskie,Russians
Sand Flea,Arabs
Sand Groper,Australians
Sand Kisser,Arabs
Sand Monkey,Arabs
Sand Moolie,Arabs
Sand Nigger,Arabs
Sand Rat,Arabs
Sand Scratcher,Arabs
Sandies,Arabs
Sandy,Arabs
Sandy Crockett,Arabs
Sanjay,Indians
Savage,Native Americans
Scotch,Scottish
Scotty,Scottish
Shaft,Blacks
Shaka Zulu,Blacks
Shant,Irish
Silverback,Blacks
Simian,Blacks
Skinhead,Whites
Slant,Asians
Slantey-eye'd,Asians
Slave,Blacks
Slit,Asians
Slope,Asians
Smigger,Blacks
Snigger,Arabs
Snigger,Blacks
Spade,Blacks
Spear-Chucker,Blacks
Spec,Hispanics
Spic,Hispanics
Spickaboo,Mixed Races
SpicNic,Hispanics
Spicracker,Mixed Races
Spigger,Mixed Races
Spink,Mixed Races
Spook,Blacks
Squint,Asians
Taig,Irish
TAP,Americans
Terr-ab,Arabs
Terrorist,Arabs
The Missing Link,Blacks
Thug,Whites
Tiger,Mixed Races
Tigger,Blacks
Tomahawk-Chucker,Native Americans
Tomahonky,Native Americans
Tonto,Native Americans
Towel-head,Arabs
Towlie,Arabs
Trash,Whites
Trigger,Blacks
Tyrone,Blacks
VC,Asians
Viet Cong,Vietnamese
Vink,Vietnamese
W.O.G.,Hispanics
WOG,
Wang Chung,Asians
Wankster,Whites
WAP,Whites
Wapanese,Whites
Wasp,Whites
Weaner,Whites
Webe,Blacks
Wegro,Whites
Wej,Jews
Welfare Monkey,Blacks
Welfare Mother,Blacks
Welsher,Welsh
Wet Dog,Whites
Wetback,Mexicans
WetBlack,Mixed Races
Wigger,Whites
Wiggerette,Whites
Wiggie,Non-Whites
Wigg,
Wigglet,Whites
Wog,Asians
Woggle,Asians
WOP,Italians
WOPaho,Native Americans
Wopalock,Mixed Races
Wopski,Mixed Races
Yank,Americans
Yankee,Americans
Yazzie,Native Americans
Yick,Jewish/Hispanic
Yid,Jews
Yiddiot,Jews
Yigger,Asians
Yitze,Jews
Zip,Italians
Zog,Jews
Zulu,Blacks
