pop,iyear
323405935,2016
321039839,2015
318622525,2014
316234505,2013
313993272,2012
311644280,2011
310232863,2010
307006550,2009
304374846,2008
301579895,2007
298593212,2006
295753151,2005
293045739,2004
290326418,2003
287803914,2002
285081556,2001
282171957,2000
272690813,1999
270248003,1998
267783607,1997
265228572,1996
262803276,1995
260327021,1994
255029699,1992
252153092,1991
249464396,1990
246819230,1989
244498982,1988
242288918,1987
240132887,1986
237923795,1985
235824902,1984
233791994,1983
231664458,1982
229465714,1981
227224681,1980
225055487,1979
222584545,1978
220239425,1977
218035164,1976
215973199,1975
213853928,1974
211908788,1973
209896021,1972
207660677,1971
205052174,1970
